,product_searched,product_name,customer_name,comment,rating,discount_percent,emi,offer_details,price,review_age
0,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Ankit Verma,Great product,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",8 months ago
1,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Arnab Das,Worth the money,4,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",9 months ago
2,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Bipul Singh,Very poor,1,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",6 months ago
3,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Dipankar Chakraborty,Wonderful,4,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",6 months ago
4,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Flipkart Customer,Best in the market!,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",9 months ago
5,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Flipkart Customer,Just wow!,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",7 months ago
6,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Flipkart Customer,Must buy!,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",8 months ago
7,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Flipkart Customer,Worth every penny,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",8 months ago
8,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",MAHAVISHNU V,Not recommended at all,1,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",9 months ago
9,samsung,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)  (6 GB RAM)",Mageshwaran M,Perfect product!,5,30% off,NO EMI Plans,"['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹6500 off(price inclusive of discount)T&C', 'View 5 more offers']","₹14,499",7 months ago
